ID,stress,socsup,dep,stressXss,stressSQ,PRE_1,socsupC
1,22,23,2,506,484,7.43483573605798,3.3121
2,35,22,1,770,1225,10.4016206858959,2.3121
3,5,20,1,100,25,1.59856056919251,0.312100000000001
4,21,17,3,357,441,7.1529100065368,-2.6879
5,6,24,1,144,36,2.00325544753785,4.3121
6,10,18,2,180,100,3.54530424290413,-1.6879
7,39,13,3,507,1521,11.0535931522869,-6.6879
8,23,23,2,529,529,7.70908839377764,3.3121
9,31,25,2,775,961,9.62687907068062,5.3121
10,7,23,2,161,49,2.40027725408169,3.3121
11,7,22,0,154,49,2.40027725408169,2.3121
12,11,25,2,275,121,3.91163376224193,5.3121
13,54,18,1,972,2916,12.4050771695382,-1.6879
14,77,18,3,1386,5929,11.1242202853968,-1.6879
15,9,22,2,198,81,3.17130165176483,2.3121
16,12,21,2,252,144,4.27029020977821,1.3121
17,31,24,1,744,961,9.62687907068062,4.3121
18,14,24,0,336,196,4.96458388944625,4.3121
19,15,17,2,255,225,5.300221121578,-2.6879
20,84,19,2,1596,7056,9.92872173802121,-0.687899999999999
21,39,27,3,1053,1521,11.0535931522869,7.3121
22,9,22,3,198,81,3.17130165176483,2.3121
23,35,18,2,630,1225,10.4016206858959,-1.6879
24,11,20,3,220,121,3.91163376224193,0.312100000000001
25,28,25,2,700,784,8.96525560535333,5.3121
26,22,20,3,440,484,7.43483573605798,0.312100000000001
27,14,23,3,322,196,4.96458388944625,3.3121
28,29,24,0,696,841,9.19346983226394,4.3121
29,15,26,3,390,225,5.300221121578,6.3121
30,35,10,2,350,1225,10.4016206858959,-9.6879
31,18,10,2,180,324,6.2610943871642,-9.6879
32,17,14,4,238,289,5.94847637043697,-5.6879
33,18,22,5,396,324,6.2610943871642,2.3121
34,28,15,7,420,784,8.96525560535333,-4.6879
35,16,16,5,256,256,5.62818528190824,-3.6879
36,4,19,5,76,16,1.18619261904565,-0.687899999999999
37,27,21,4,567,729,8.72936830664122,1.3121
38,47,18,4,846,2209,11.9892306385966,-1.6879
39,72,22,6,1584,5184,11.7479556651911,2.3121
40,12,20,5,240,144,4.27029020977821,0.312100000000001
41,18,24,7,432,324,6.2610943871642,4.3121
42,13,23,7,299,169,4.62127358551299,3.3121
43,19,20,4,380,361,6.56603933208991,0.312100000000001
44,48,22,4,1056,2304,12.0716565012785,2.3121
45,20,15,5,300,400,6.86331120521411,-4.6879
46,34,23,6,782,1156,10.2194448897943,3.3121
47,24,23,4,552,576,7.9756679796958,3.3121
48,73,22,7,1606,5329,11.6385547328353,2.3121
49,57,24,6,1368,3249,12.4682010343477,4.3121
50,25,21,6,525,625,8.23457449381245,1.3121
51,31,25,4,775,961,9.62687907068062,5.3121
52,62,23,4,1426,3844,12.4199460396666,3.3121
53,27,15,7,405,729,8.72936830664122,-4.6879
54,46,18,7,828,2116,11.8991317041132,-1.6879
55,88,26,7,2288,7744,9.07677213131624,6.3121
56,15,15,7,225,225,5.300221121578,-4.6879
57,32,24,4,768,1024,9.8320740821867,4.3121
58,92,24,5,2208,8464,8.10205337578709,4.3121
59,26,17,7,442,676,8.48580793612759,-2.6879
60,31,18,7,558,961,9.62687907068062,-1.6879
61,16,24,4,384,256,5.62818528190824,4.3121
62,58,23,5,1334,3364,12.4738961790145,3.3121
63,45,16,4,720,2025,11.8013596978282,-3.6879
64,38,22,6,836,1444,10.9021096433914,2.3121
65,58,24,5,1392,3364,12.4738961790145,4.3121
66,9,22,4,198,81,3.17130165176483,2.3121
67,15,15,6,225,225,5.300221121578,-4.6879
68,12,23,5,276,144,4.27029020977821,3.3121
69,21,23,5,483,441,7.1529100065368,3.3121
70,22,25,4,550,484,7.43483573605798,5.3121
71,22,22,4,484,484,7.43483573605798,2.3121
72,27,23,7,621,729,8.72936830664122,3.3121
73,32,24,4,768,1024,9.8320740821867,4.3121
74,24,17,5,408,576,7.9756679796958,-2.6879
75,11,19,5,209,121,3.91163376224193,-0.687899999999999
76,27,19,4,513,729,8.72936830664122,-0.687899999999999
77,18,14,7,252,324,6.2610943871642,-5.6879
78,25,13,6,325,625,8.23457449381245,-6.6879
79,11,8,10,88,121,3.91163376224193,-11.6879
80,65,17,11,1105,4225,12.2989161812398,-2.6879
81,40,18,9,720,1600,11.1974035893809,-1.6879
82,13,21,9,273,169,4.62127358551299,1.3121
83,29,26,10,754,841,9.19346983226394,6.3121
84,63,16,11,1008,3969,12.3872758253258,-3.6879
85,16,22,8,352,256,5.62818528190824,2.3121
86,38,21,10,798,1444,10.9021096433914,1.3121
87,59,23,10,1357,3481,12.4719182518798,3.3121
88,49,14,8,686,2401,12.1464092921589,-5.6879
89,26,13,9,338,676,8.48580793612759,-6.6879
90,18,12,11,216,324,6.2610943871642,-7.6879
91,24,12,11,288,576,7.9756679796958,-7.6879
92,43,22,10,946,1849,11.5827964698538,2.3121
93,36,21,10,756,1296,10.5761234101959,1.3121
94,27,28,10,756,729,8.72936830664122,8.3121
95,14,25,8,350,196,4.96458388944625,5.3121
96,19,26,8,494,361,6.56603933208991,6.3121
97,12,24,8,288,144,4.27029020977821,4.3121
98,19,22,8,418,361,6.56603933208991,2.3121
99,34,20,9,680,1156,10.2194448897943,0.312100000000001
100,26,8,11,208,676,8.48580793612759,-11.6879
101,26,23,9,598,676,8.48580793612759,3.3121
102,62,24,9,1488,3844,12.4199460396666,4.3121
103,36,20,10,720,1296,10.5761234101959,0.312100000000001
104,18,16,11,288,324,6.2610943871642,-3.6879
105,26,24,11,624,676,8.48580793612759,4.3121
106,35,17,24,595,1225,10.4016206858959,-2.6879
107,56,17,21,952,3136,12.4548328178794,-2.6879
108,33,18,28,594,1089,10.0295960218913,-1.6879
109,22,12,12,264,484,7.43483573605798,-7.6879
110,51,12,19,612,2601,12.2728956585151,-7.6879
111,37,21,14,777,1369,10.7429530626944,1.3121
112,49,15,31,735,2401,12.1464092921589,-4.6879
113,36,14,19,504,1296,10.5761234101959,-5.6879
114,64,14,27,896,4096,12.3469325391836,-5.6879
115,10,11,15,110,100,3.54530424290413,-8.6879
116,71,17,41,1207,5041,11.8496835257455,-2.6879
117,38,16,13,608,1444,10.9021096433914,-3.6879
118,27,19,15,513,729,8.72936830664122,-0.687899999999999
119,51,19,13,969,2601,12.2728956585151,-0.687899999999999
120,43,22,15,946,1849,11.5827964698538,2.3121
121,58,14,17,812,3364,12.4738961790145,-5.6879
122,67,13,25,871,4489,12.1798642499477,-6.6879
123,53,19,12,1007,2809,12.3686897376654,-0.687899999999999
124,37,27,15,999,1369,10.7429530626944,7.3121
125,31,23,13,713,961,9.62687907068062,3.3121
126,19,14,16,266,361,6.56603933208991,-5.6879
127,28,14,13,392,784,8.96525560535333,-5.6879
128,28,15,16,420,784,8.96525560535333,-4.6879
129,39,20,13,780,1521,11.0535931522869,0.312100000000001
130,48,22,17,1056,2304,12.0716565012785,2.3121
131,48,18,21,864,2304,12.0716565012785,-1.6879
132,28,23,15,644,784,8.96525560535333,3.3121
133,47,24,12,1128,2209,11.9892306385966,4.3121
134,45,23,17,1035,2025,11.8013596978282,3.3121
135,59,13,19,767,3481,12.4719182518798,-6.6879
136,38,12,14,456,1444,10.9021096433914,-7.6879
137,29,22,16,638,841,9.19346983226394,2.3121
138,28,24,21,672,784,8.96525560535333,4.3121
139,57,26,19,1482,3249,12.4682010343477,6.3121
140,55,18,18,990,3025,12.4337915296095,-1.6879
141,50,22,14,1100,2500,12.2134890112378,2.3121
